Time,Feedback
"Instant { tv_sec: 1774672, tv_nsec: 65422573 }",-1.177
"Instant { tv_sec: 1774672, tv_nsec: 65643956 }",-1.4080001
"Instant { tv_sec: 1774672, tv_nsec: 81363402 }",-1.4210001
"Instant { tv_sec: 1774672, tv_nsec: 81511511 }",-1.1980001
"Instant { tv_sec: 1774672, tv_nsec: 97535626 }",-1.358
"Instant { tv_sec: 1774672, tv_nsec: 97683936 }",-1.3130001
"Instant { tv_sec: 1774672, tv_nsec: 97759504 }",-1.4720001
"Instant { tv_sec: 1774672, tv_nsec: 113510254 }",-0.87200004
"Instant { tv_sec: 1774672, tv_nsec: 113658834 }",-1.514
"Instant { tv_sec: 1774672, tv_nsec: 113732508 }",-1.2370001
"Instant { tv_sec: 1774672, tv_nsec: 129150000 }",-1.46
"Instant { tv_sec: 1774672, tv_nsec: 129350827 }",-1.5100001
"Instant { tv_sec: 1774672, tv_nsec: 145263731 }",-1.5230001
"Instant { tv_sec: 1774672, tv_nsec: 161202787 }",-1.271
"Instant { tv_sec: 1774672, tv_nsec: 161319345 }",-1.217
"Instant { tv_sec: 1774672, tv_nsec: 177182707 }",-1.447
"Instant { tv_sec: 1774672, tv_nsec: 177327344 }",-1.302
"Instant { tv_sec: 1774672, tv_nsec: 193148869 }",-1.3590001
"Instant { tv_sec: 1774672, tv_nsec: 209127169 }",-1.238
"Instant { tv_sec: 1774672, tv_nsec: 225222071 }",-1.401
"Instant { tv_sec: 1774672, tv_nsec: 241153715 }",-1.353
"Instant { tv_sec: 1774672, tv_nsec: 257238931 }",-1.514
"Instant { tv_sec: 1774672, tv_nsec: 257369105 }",-1.3280001
"Instant { tv_sec: 1774672, tv_nsec: 273172513 }",-0.80700004
"Instant { tv_sec: 1774672, tv_nsec: 273314006 }",-1.3290001
"Instant { tv_sec: 1774672, tv_nsec: 273386289 }",-1.462
"Instant { tv_sec: 1774672, tv_nsec: 289225860 }",-1.3060001
"Instant { tv_sec: 1774672, tv_nsec: 289396285 }",-1.536
"Instant { tv_sec: 1774672, tv_nsec: 305181301 }",-1.256
"Instant { tv_sec: 1774672, tv_nsec: 305324123 }",-1.483
"Instant { tv_sec: 1774672, tv_nsec: 305394886 }",-1.5300001
"Instant { tv_sec: 1774672, tv_nsec: 305461811 }",-1.46
"Instant { tv_sec: 1774672, tv_nsec: 321551849 }",-1.4920001
"Instant { tv_sec: 1774672, tv_nsec: 321700690 }",-1.3210001
"Instant { tv_sec: 1774672, tv_nsec: 353560843 }",-1.439
"Instant { tv_sec: 1774672, tv_nsec: 369646420 }",-1.2950001
"Instant { tv_sec: 1774672, tv_nsec: 369794325 }",-1.3800001
"Instant { tv_sec: 1774672, tv_nsec: 369867822 }",-1.427
"Instant { tv_sec: 1774672, tv_nsec: 385488365 }",-1.501
"Instant { tv_sec: 1774672, tv_nsec: 385635596 }",-1.4410001
"Instant { tv_sec: 1774672, tv_nsec: 385746025 }",-1.5120001
"Instant { tv_sec: 1774672, tv_nsec: 401232126 }",-1.45
"Instant { tv_sec: 1774672, tv_nsec: 401367803 }",-1.2240001
"Instant { tv_sec: 1774672, tv_nsec: 417119477 }",-1.5130001
"Instant { tv_sec: 1774672, tv_nsec: 417264555 }",-1.5040001
"Instant { tv_sec: 1774672, tv_nsec: 417338544 }",-1.294
"Instant { tv_sec: 1774672, tv_nsec: 433119272 }",-1.4770001
"Instant { tv_sec: 1774672, tv_nsec: 433265712 }",-1.1270001
"Instant { tv_sec: 1774672, tv_nsec: 433427491 }",-1.3490001
"Instant { tv_sec: 1774672, tv_nsec: 449169373 }",-1.5130001
"Instant { tv_sec: 1774672, tv_nsec: 465080870 }",-1.524
"Instant { tv_sec: 1774672, tv_nsec: 465285925 }",-1.445
